Detector,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Bauman_01,7/27/2019,4:30,4,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/28/2019,2:33,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/25/2019,23:01,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:47,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:49,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/26/2019,0:13,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/25/2019,23:02,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:50,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/25/2019,23:05,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/28/2019,0:58,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,23:16,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,2:47,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/26/2019,22:20,22,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,23:16,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/26/2019,22:20,22,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:48,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/25/2019,23:05,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,7/27/2019,2:30,2,LASBOR,NA,1,LASBOR,0
Bauman_01,7/27/2019,23:10,23,LASBOR,NA,1,LASBOR,0
Bauman_01,7/26/2019,1:10,1,LASBOR,NA,1,LASBOR,0
Bauman_01,7/27/2019,21:38,21,LASBOR,NA,1,LASBOR,0
Bauman_01,7/26/2019,0:39,0,LASBOR,NA,1,LASBOR,0
Bauman_01,7/27/2019,23:10,23,LASBOR,NA,1,LASBOR,0
Bauman_01,7/28/2019,0:47,0,LASBOR,NA,1,LASBOR,0
Bauman_01,7/28/2019,2:17,2,LASCIN,NA,1,LASCIN,0
Bauman_01,7/26/2019,0:47,0,LASCIN,Noise,1,Noise,0
Bauman_01,7/26/2019,6:43,6,LASCIN,Noise,1,Noise,0
Bauman_01,7/26/2019,22:27,22,LASCIN,NA,1,LASCIN,0
Bauman_01,7/26/2019,6:42,6,LASCIN,Noise,1,Noise,0
Bauman_01,7/27/2019,2:06,2,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,23:26,23,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,23:15,23,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,23:50,23,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/27/2019,21:38,21,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,23:35,23,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,23:43,23,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/26/2019,0:31,0,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/28/2019,22:56,22,NYCHUM,NA,1,NYCHUM,0
Bauman_01,7/25/2019,23:03,23,NoID,NA,1,NoID,0
Bauman_01,7/25/2019,23:04,23,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,0:20,0,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:44,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:44,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:44,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:45,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:45,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:46,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:46,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:47,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:47,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:47,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:47,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:47,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:48,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,6:48,6,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,22:52,22,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,23:16,23,NoID,NA,1,NoID,0
Bauman_01,7/26/2019,23:29,23,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:15,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:24,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:36,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:43,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:46,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:46,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:47,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,0:48,0,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,1:00,1,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,1:48,1,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,2:27,2,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,23:33,23,NoID,NA,1,NoID,0
Bauman_01,7/27/2019,23:39,23,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,0:02,0,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,0:27,0,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,0:34,0,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,2:24,2,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,2:33,2,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,4:19,4,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,6:28,6,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,6:29,6,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,22:00,22,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,22:00,22,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,22:41,22,NoID,NA,1,NoID,0
Bauman_01,7/28/2019,22:52,22,NoID,NA,1,NoID,0
Bauman_02,7/28/2019,23:15,23,NYCHUM,NA,1,NYCHUM,65
Bauman_02,7/28/2019,23:43,23,NYCHUM,NA,1,NYCHUM,65
Bauman_02,7/28/2019,22:28,22,NYCHUM,NA,1,NYCHUM,65
Bauman_02,7/28/2019,23:08,23,NYCHUM,NA,1,NYCHUM,65
Bauman_02,7/26/2019,22:26,22,NoID,NA,1,NoID,65
Bauman_02,7/27/2019,0:40,0,NoID,NA,1,NoID,65
Bauman_02,7/27/2019,0:40,0,NoID,NA,1,NoID,65
Bauman_02,7/28/2019,22:00,22,NoID,NA,1,NoID,65
Bauman_02,7/28/2019,22:29,22,NoID,NA,1,NoID,65
Bauman_02,7/28/2019,22:59,22,NoID,NA,1,NoID,65
Bauman_03,7/26/2019,22:36,22,EPTFUS,NA,1,EPTFUS,172
Bauman_03,7/28/2019,23:00,23,EPTFUS,NA,1,EPTFUS,172
Bauman_03,7/28/2019,23:56,23,EPTFUS,NA,1,EPTFUS,172
Bauman_03,7/27/2019,22:59,22,EPTFUS,NA,1,EPTFUS,172
Bauman_03,7/28/2019,1:56,1,LASBOR,NA,1,LASBOR,172
Bauman_03,7/26/2019,1:56,1,LASBOR,NA,1,LASBOR,172
Bauman_03,7/28/2019,2:11,2,LASCIN,Noise,1,Noise,172
Bauman_03,7/27/2019,0:22,0,LASCIN,NA,1,LASCIN,172
Bauman_03,7/28/2019,2:17,2,LASCIN,NA,1,LASCIN,172
Bauman_03,7/28/2019,22:33,22,LASCIN,NA,1,LASCIN,172
Bauman_03,7/26/2019,22:23,22,NYCHUM,NA,1,NYCHUM,172
Bauman_03,7/28/2019,23:00,23,NYCHUM,NA,1,NYCHUM,172
Bauman_03,7/28/2019,23:01,23,NYCHUM,NA,1,NYCHUM,172
Bauman_03,7/27/2019,23:20,23,NYCHUM,NA,1,NYCHUM,172
Bauman_03,7/28/2019,23:44,23,NYCHUM,NA,1,NYCHUM,172
Bauman_03,7/25/2019,21:29,21,NoID,NA,1,NoID,172
Bauman_03,7/25/2019,23:36,23,NoID,NA,1,NoID,172
Bauman_03,7/25/2019,23:50,23,NoID,NA,1,NoID,172
Bauman_03,7/26/2019,1:08,1,NoID,NA,1,NoID,172
Bauman_03,7/26/2019,22:40,22,NoID,NA,1,NoID,172
Bauman_03,7/27/2019,23:05,23,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,0:22,0,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,0:33,0,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,1:11,1,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,1:12,1,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,2:29,2,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,2:32,2,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,21:32,21,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,21:33,21,NoID,NA,1,NoID,172
Bauman_03,7/28/2019,21:33,21,NoID,NA,1,NoID,172
Bauman_04,7/28/2019,22:02,22,EPTFUS,NA,1,EPTFUS,267
Bauman_04,7/27/2019,22:20,22,EPTFUS,NA,1,EPTFUS,267
Bauman_04,7/28/2019,23:57,23,EPTFUS,NA,1,EPTFUS,267
Bauman_04,7/26/2019,1:20,1,LASBOR,NA,1,LASBOR,267
Bauman_04,7/28/2019,0:18,0,LASCIN,Noise,1,Noise,267
Bauman_04,7/28/2019,22:02,22,LASCIN,NA,1,LASCIN,267
Bauman_04,7/28/2019,0:41,0,LASCIN,NA,1,LASCIN,267
Bauman_04,7/25/2019,23:36,23,LASNOC,NA,1,LASNOC,267
Bauman_04,7/26/2019,4:25,4,MYOLUC,NA,1,MYOLUC,267
Bauman_04,7/27/2019,4:02,4,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/27/2019,1:07,1,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/28/2019,22:28,22,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/28/2019,22:47,22,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/28/2019,22:32,22,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/28/2019,22:32,22,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/28/2019,23:44,23,NYCHUM,NA,1,NYCHUM,267
Bauman_04,7/26/2019,0:19,0,NoID,NA,1,NoID,267
Bauman_04,7/26/2019,22:11,22,NoID,NA,1,NoID,267
Bauman_04,7/27/2019,0:54,0,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,2:17,2,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,3:02,3,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,21:56,21,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,22:39,22,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,22:39,22,NoID,NA,1,NoID,267
Bauman_04,7/28/2019,22:40,22,NoID,NA,1,NoID,267
