Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Grell_01,20190718,7/18/2019,22:08,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190723,7/23/2019,21:56,21,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/22/2019,22:11,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/22/2019,21:57,21,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190723,7/23/2019,22:35,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/22/2019,23:10,23,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190723,7/23/2019,22:02,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/23/2019,0:33,0,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190718,7/18/2019,22:45,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190721,7/22/2019,2:04,2,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:30,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/21/2019,21:34,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190718,7/19/2019,3:49,3,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/21/2019,21:31,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:31,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:49,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190718,7/19/2019,1:45,1,LASBOR,NA,1,LASBOR,67
Grell_01,20190722,7/22/2019,22:22,22,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,22:54,22,LASBOR,NA,1,LASBOR,67
Grell_01,20190718,7/18/2019,23:23,23,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/22/2019,1:41,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,21:45,21,LASCIN,NA,1,LASCIN,67
Grell_01,20190718,7/18/2019,23:14,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,21:56,21,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:11,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/22/2019,23:25,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/24/2019,1:41,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/22/2019,23:59,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/24/2019,3:44,3,LASCIN,Noise,1,Noise,67
Grell_01,20190722,7/22/2019,23:49,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/23/2019,1:05,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,21:57,21,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:35,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/23/2019,0:30,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/21/2019,23:22,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/22/2019,22:08,22,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:27,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,1:27,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:11,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190718,7/18/2019,22:44,22,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,23:33,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/21/2019,23:16,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/21/2019,23:35,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/24/2019,1:40,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:05,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190718,7/19/2019,2:38,2,LASNOC,NA,1,LASNOC,67
Grell_01,20190722,7/22/2019,23:26,23,LASNOC,NA,1,LASNOC,67
Grell_01,20190723,7/24/2019,0:21,0,LASNOC,NA,1,LASNOC,67
Grell_01,20190723,7/24/2019,0:06,0,LASNOC,NA,1,LASNOC,67
Grell_01,20190718,7/18/2019,23:24,23,LASNOC,NA,1,LASNOC,67
Grell_01,20190718,7/18/2019,21:50,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190721,7/21/2019,21:19,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190721,7/22/2019,1:28,1,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/19/2019,0:54,0,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,21:55,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,21:20,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,22:46,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190723,7/23/2019,21:57,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,22:37,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,22:27,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,21:37,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190721,7/22/2019,4:16,4,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,22:14,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,22:23,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,21:50,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,21:54,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,22:01,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/23/2019,0:22,0,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190723,7/23/2019,23:58,23,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190721,7/22/2019,4:51,4,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190723,7/23/2019,21:30,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/19/2019,1:18,1,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190723,7/23/2019,22:03,22,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/22/2019,21:24,21,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190722,7/23/2019,2:30,2,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/19/2019,2:02,2,NYCHUM,NA,1,NYCHUM,67
Grell_01,20190718,7/18/2019,21:41,21,NoID,NA,1,NoID,67
Grell_01,20190718,7/18/2019,21:48,21,NoID,NA,1,NoID,67
Grell_01,20190718,7/18/2019,22:09,22,NoID,NA,1,NoID,67
Grell_01,20190718,7/18/2019,22:28,22,NoID,NA,1,NoID,67
Grell_01,20190718,7/18/2019,23:34,23,NoID,NA,1,NoID,67
Grell_01,20190718,7/18/2019,23:38,23,NoID,NA,1,NoID,67
Grell_01,20190718,7/19/2019,0:22,0,NoID,NA,1,NoID,67
Grell_01,20190718,7/19/2019,3:10,3,NoID,NA,1,NoID,67
Grell_01,20190718,7/19/2019,4:45,4,NoID,NA,1,NoID,67
Grell_01,20190718,7/19/2019,5:25,5,NoID,NA,1,NoID,67
Grell_01,20190718,7/19/2019,5:26,5,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,21:10,21,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,21:11,21,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,21:48,21,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,22:55,22,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,23:08,23,NoID,NA,1,NoID,67
Grell_01,20190721,7/21/2019,23:43,23,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,0:16,0,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,0:39,0,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,1:12,1,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,1:25,1,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,1:42,1,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,2:44,2,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,3:01,3,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,3:14,3,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,3:37,3,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,3:55,3,NoID,NA,1,NoID,67
Grell_01,20190721,7/22/2019,4:10,4,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,21:20,21,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,21:26,21,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,21:30,21,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,21:41,21,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,22:53,22,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,23:20,23,NoID,NA,1,NoID,67
Grell_01,20190722,7/22/2019,23:55,23,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:32,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:34,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:38,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:49,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:49,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,21:53,21,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,22:01,22,NoID,NA,1,NoID,67
Grell_01,20190723,7/23/2019,23:56,23,NoID,NA,1,NoID,67
Grell_01,20190723,7/24/2019,4:51,4,NoID,NA,1,NoID,67
Grell_02,20190722,7/22/2019,22:47,22,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190721,7/22/2019,0:25,0,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190721,7/21/2019,23:29,23,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190723,7/23/2019,23:01,23,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190723,7/23/2019,22:25,22,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190723,7/23/2019,21:32,21,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190721,7/21/2019,23:15,23,EPTFUS,NA,1,EPTFUS,31
Grell_02,20190721,7/22/2019,0:19,0,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/21/2019,21:06,21,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,2:05,2,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/21/2019,21:27,21,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,3:48,3,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,5:35,5,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/22/2019,21:21,21,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/22/2019,22:21,22,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,1:13,1,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/23/2019,2:25,2,LASBOR,NA,1,LASBOR,31
Grell_02,20190723,7/23/2019,21:32,21,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,0:52,0,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/23/2019,2:58,2,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/23/2019,1:45,1,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/22/2019,22:27,22,LASBOR,NA,1,LASBOR,31
Grell_02,20190722,7/23/2019,0:36,0,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/22/2019,2:33,2,LASBOR,NA,1,LASBOR,31
Grell_02,20190718,7/18/2019,23:56,23,LASBOR,NA,1,LASBOR,31
Grell_02,20190721,7/21/2019,23:15,23,LASCIN,NA,1,LASCIN,31
Grell_02,20190721,7/22/2019,0:06,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190721,7/22/2019,0:04,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190723,7/24/2019,0:26,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,0:04,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,0:15,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/23/2019,0:51,0,LASCIN,Noise,1,Noise,31
Grell_02,20190722,7/22/2019,22:24,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190723,7/23/2019,21:32,21,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,4:36,4,LASCIN,Noise,1,Noise,31
Grell_02,20190722,7/22/2019,22:53,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/18/2019,23:55,23,LASCIN,NA,1,LASCIN,31
Grell_02,20190723,7/24/2019,1:37,1,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,5:02,5,LASCIN,Noise,1,Noise,31
Grell_02,20190718,7/19/2019,5:03,5,LASCIN,Noise,1,Noise,31
Grell_02,20190723,7/23/2019,22:24,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190723,7/24/2019,3:15,3,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/23/2019,1:58,1,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/22/2019,22:01,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190721,7/22/2019,1:42,1,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,4:36,4,LASCIN,Noise,1,Noise,31
Grell_02,20190723,7/24/2019,1:50,1,LASCIN,Noise,1,Noise,31
Grell_02,20190718,7/19/2019,0:15,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/19/2019,5:03,5,LASCIN,Noise,1,Noise,31
Grell_02,20190723,7/24/2019,1:40,1,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/23/2019,0:14,0,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/22/2019,23:25,23,LASCIN,NA,1,LASCIN,31
Grell_02,20190718,7/18/2019,22:55,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190722,7/22/2019,22:08,22,LASCIN,NA,1,LASCIN,31
Grell_02,20190723,7/23/2019,21:33,21,LASCIN,NA,1,LASCIN,31
Grell_02,20190721,7/21/2019,23:54,23,LASNOC,NA,1,LASNOC,31
Grell_02,20190721,7/22/2019,0:32,0,LASNOC,NA,1,LASNOC,31
Grell_02,20190721,7/22/2019,1:13,1,LASNOC,NA,1,LASNOC,31
Grell_02,20190718,7/19/2019,2:18,2,MYOLUC,NA,1,MYOLUC,31
Grell_02,20190723,7/24/2019,1:56,1,MYOLUC,NA,1,MYOLUC,31
