Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Bauman_01,20190726,7/27/2019,4:30,4,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190727,7/28/2019,2:33,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:49,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:15,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/28/2019,22:00,22,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:46,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:47,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,1:51,1,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,1:52,1,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,2:39,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,3:32,3,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/25/2019,23:01,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,1:47,1,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,2:20,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,2:49,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,1:35,1,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/25/2019,23:04,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190727,7/27/2019,23:16,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,1:47,1,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,0:03,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,3:37,3,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/26/2019,0:13,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,2:00,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:50,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,2:03,2,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/25/2019,23:02,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/25/2019,23:05,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,0:37,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:41,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190726,7/27/2019,0:48,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190725,7/25/2019,23:05,23,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190728,7/29/2019,0:42,0,EPTFUS,NA,1,EPTFUS,0
Bauman_01,20190727,7/28/2019,0:58,0,EPTFUS,NA,1,EPTFUS,0
Bauman_03,20190728,7/28/2019,23:56,23,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190726,7/26/2019,22:36,22,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,1:45,1,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,1:52,1,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,2:45,2,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,2:20,2,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,0:52,0,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190728,7/29/2019,3:38,3,EPTFUS,NA,1,EPTFUS,172
Bauman_03,20190727,7/27/2019,22:59,22,EPTFUS,NA,1,EPTFUS,172
Bauman_04,20190728,7/29/2019,0:54,0,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/28/2019,22:02,22,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/29/2019,1:25,1,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/29/2019,1:52,1,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/29/2019,3:02,3,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/29/2019,2:20,2,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190728,7/29/2019,3:38,3,EPTFUS,NA,1,EPTFUS,267
Bauman_04,20190727,7/27/2019,22:20,22,EPTFUS,NA,1,EPTFUS,267
Bauman_05,20190725,7/26/2019,0:27,0,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190728,7/29/2019,1:00,1,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190726,7/27/2019,0:15,0,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190728,7/29/2019,2:39,2,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190727,7/27/2019,23:40,23,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190726,7/26/2019,22:27,22,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190726,7/26/2019,22:41,22,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190728,7/29/2019,1:47,1,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190728,7/29/2019,3:40,3,EPTFUS,NA,1,EPTFUS,100
Bauman_05,20190727,7/28/2019,3:52,3,EPTFUS,NA,1,EPTFUS,100
Bauman_06,20190728,7/29/2019,3:32,3,EPTFUS,NA,1,EPTFUS,128
Bauman_06,20190726,7/27/2019,0:39,0,EPTFUS,NA,1,EPTFUS,128
Bauman_06,20190727,7/28/2019,0:34,0,EPTFUS,NA,1,EPTFUS,128
Bauman_06,20190727,7/28/2019,2:02,2,EPTFUS,NA,1,EPTFUS,128
