Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Grell_01,20190718,7/18/2019,22:08,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/22/2019,22:11,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190718,7/18/2019,22:09,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190721,7/21/2019,22:55,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190722,7/22/2019,23:55,23,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190718,7/18/2019,22:45,22,EPTFUS,NA,1,EPTFUS,67
Grell_01,20190718,7/18/2019,21:50,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/21/2019,21:19,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:38,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:31,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:49,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/21/2019,21:31,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/21/2019,21:34,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:49,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190723,7/23/2019,21:30,21,LASBOR,NA,1,LASBOR,67
Grell_01,20190721,7/22/2019,1:41,1,LASCIN,NA,1,LASCIN,67
Grell_01,20190718,7/18/2019,23:14,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,21:45,21,LASCIN,NA,1,LASCIN,67
Grell_01,20190721,7/22/2019,0:11,0,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/23/2019,21:56,21,LASCIN,NA,1,LASCIN,67
Grell_01,20190722,7/22/2019,23:59,23,LASCIN,NA,1,LASCIN,67
Grell_01,20190723,7/24/2019,0:21,0,LASNOC,NA,1,LASNOC,67
Grell_01,20190721,7/21/2019,21:48,21,MYOLUC,NA,1,MYOLUC,67
Grell_01,20190723,7/24/2019,1:41,1,LASCIN,NoID,1,NoID,67
Grell_01,20190721,7/22/2019,0:11,0,LASCIN,NoID,1,NoID,67
Grell_01,20190721,7/22/2019,0:35,0,LASCIN,NoID,1,NoID,67
