Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Mulder1_01,20190718,7/19/2019,2:59,2,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190716,7/17/2019,0:55,0,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190721,7/21/2019,23:50,23,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190721,7/22/2019,0:56,0,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190721,7/22/2019,1:02,1,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190722,7/23/2019,0:13,0,EPTFUS,NA,1,EPTFUS,245
Mulder1_01,20190721,7/21/2019,21:37,21,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190721,7/21/2019,22:35,22,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190716,7/16/2019,23:54,23,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190716,7/16/2019,22:19,22,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190722,7/23/2019,2:59,2,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190716,7/16/2019,23:25,23,LASBOR,NA,1,LASBOR,245
Mulder1_01,20190716,7/16/2019,22:47,22,LASCIN,NA,1,LASCIN,245
Mulder1_01,20190721,7/22/2019,0:20,0,LASCIN,NA,1,LASCIN,245
Mulder1_01,20190722,7/23/2019,3:00,3,LASCIN,NoID,1,NoID,245
Mulder1_01,20190722,7/23/2019,5:07,5,LASCIN,NoID,1,NoID,245
Mulder1_01,20190721,7/22/2019,3:42,3,LASCIN,Noise,1,Noise,245
Mulder1_01,20190721,7/21/2019,22:55,22,LASCIN,NA,1,LASCIN,245
Mulder1_01,20190722,7/23/2019,3:52,3,LASCIN,Noise,1,Noise,245
Mulder1_01,20190721,7/22/2019,3:29,3,LASCIN,NA,1,LASCIN,245
Mulder1_01,20190721,7/22/2019,2:11,2,LASCIN,NA,1,LASCIN,245
Mulder1_01,20190716,7/17/2019,0:33,0,LASCIN,NoID,1,NoID,245
Mulder1_01,20190716,7/16/2019,22:14,22,LASCIN,NoID,1,NoID,245
Mulder1_01,20190721,7/21/2019,21:10,21,LASCIN,Noise,1,Noise,245
Mulder1_01,20190716,7/17/2019,0:38,0,LASCIN,NoID,1,NoID,245
Mulder1_01,20190722,7/22/2019,22:33,22,MYOLUC,NA,1,MYOLUC,245
Mulder1_01,20190716,7/17/2019,0:02,0,NYCHUM,NA,1,NYCHUM,245
Mulder1_01,20190718,7/19/2019,1:41,1,NYCHUM,NA,1,NYCHUM,245
Mulder1_01,20190721,7/22/2019,4:14,4,NYCHUM,NoID,1,NoID,245
Mulder1_01,20190716,7/17/2019,4:18,4,NYCHUM,NoID,1,NoID,245
Mulder1_01,20190722,7/22/2019,22:32,22,NYCHUM,NA,1,NYCHUM,245
Mulder1_02,20190721,7/22/2019,0:37,0,EPTFUS,NA,1,EPTFUS,260
Mulder1_02,20190721,7/21/2019,23:00,23,EPTFUS,NA,1,EPTFUS,260
Mulder1_02,20190722,7/23/2019,0:50,0,EPTFUS,NA,1,EPTFUS,260
Mulder1_02,20190721,7/22/2019,0:08,0,EPTFUS,NoID,1,NoID,260
Mulder1_02,20190722,7/22/2019,22:03,22,LASBOR,NA,1,LASBOR,260
Mulder1_02,20190721,7/21/2019,21:38,21,LASBOR,NA,1,LASBOR,260
Mulder1_02,20190722,7/22/2019,21:41,21,LASBOR,NoID,1,NoID,260
Mulder1_02,20190721,7/22/2019,4:15,4,LASBOR,NA,1,LASBOR,260
Mulder1_02,20190721,7/21/2019,22:24,22,LASCIN,NoID,1,NoID,260
Mulder1_02,20190721,7/22/2019,4:57,4,LASCIN,NoID,1,NoID,260
Mulder1_02,20190721,7/22/2019,3:13,3,LASCIN,NoID,1,NoID,260
Mulder1_02,20190716,7/17/2019,2:10,2,LASCIN,NoID,1,NoID,260
Mulder1_02,20190722,7/23/2019,2:41,2,LASCIN,NoID,1,NoID,260
Mulder1_02,20190722,7/23/2019,0:18,0,LASCIN,NA,1,LASCIN,260
Mulder1_02,20190721,7/21/2019,23:23,23,MYOSEP,NA,1,MYOSEP,260
Mulder1_02,20190716,7/17/2019,4:18,4,MYOSEP,NA,1,MYOSEP,260
Mulder1_02,20190716,7/16/2019,22:19,22,NYCHUM,NA,1,NYCHUM,260
Mulder1_02,20190722,7/22/2019,22:44,22,NYCHUM,NA,1,NYCHUM,260
Mulder1_02,20190721,7/21/2019,21:31,21,NYCHUM,NoID,1,NoID,260
Mulder1_02,20190721,7/22/2019,2:10,2,NYCHUM,NoID,1,NoID,260
Mulder1_03,20190721,7/21/2019,22:38,22,EPTFUS,NA,1,EPTFUS,300
