Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Reimer_01,20190821,8/22/2019,0:55,0,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190822,8/23/2019,0:31,0,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190821,8/22/2019,2:16,2,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190815,8/15/2019,21:23,21,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190822,8/23/2019,0:31,0,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190815,8/16/2019,0:10,0,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190815,8/15/2019,22:55,22,EPTFUS,NoID,1,NoID,673
Reimer_01,20190819,8/20/2019,3:20,3,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190822,8/23/2019,0:39,0,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190819,8/20/2019,3:20,3,EPTFUS,NA,1,EPTFUS,673
Reimer_01,20190822,8/23/2019,0:14,0,LASCIN,Noise,1,Noise,673
Reimer_01,20190821,8/21/2019,22:47,22,LASCIN,Noise,1,Noise,673
Reimer_01,20190821,8/21/2019,22:47,22,LASCIN,Noise,1,Noise,673
Reimer_01,20190821,8/21/2019,22:48,22,LASCIN,Noise,1,Noise,673
Reimer_01,20190821,8/21/2019,22:47,22,LASCIN,Noise,1,Noise,673
Reimer_01,20190815,8/15/2019,23:24,23,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,5:33,5,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,5:33,5,LASCIN,Noise,1,Noise,673
Reimer_01,20190815,8/16/2019,4:38,4,LASCIN,Noise,1,Noise,673
Reimer_01,20190822,8/23/2019,0:23,0,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/19/2019,21:24,21,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,2:54,2,LASCIN,Noise,1,Noise,673
Reimer_01,20190815,8/16/2019,4:36,4,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,5:32,5,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,4:23,4,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,3:20,3,LASCIN,Noise,1,Noise,673
Reimer_01,20190821,8/21/2019,23:44,23,LASCIN,Noise,1,Noise,673
Reimer_01,20190822,8/22/2019,21:17,21,LASCIN,Noise,1,Noise,673
Reimer_01,20190819,8/20/2019,5:03,5,LASCIN,Noise,1,Noise,673
Reimer_01,20190822,8/23/2019,3:42,3,NYCHUM,NA,1,NYCHUM,673
Reimer_01,20190822,8/23/2019,1:21,1,NYCHUM,NA,1,NYCHUM,673
