Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
Scheve_01,20190624,6/25/2019,3:48,3,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190620,6/20/2019,23:34,23,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190625,6/25/2019,23:30,23,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/26/2019,22:21,22,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190621,6/22/2019,4:30,4,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/27/2019,2:51,2,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190627,6/28/2019,3:51,3,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190620,6/20/2019,23:34,23,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190624,6/25/2019,4:28,4,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190625,6/25/2019,22:31,22,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190622,6/22/2019,22:16,22,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190624,6/25/2019,2:48,2,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/27/2019,0:14,0,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/26/2019,23:30,23,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190624,6/25/2019,2:28,2,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/27/2019,1:01,1,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190626,6/27/2019,2:30,2,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190622,6/23/2019,0:28,0,EPTFUS,NA,1,EPTFUS,181
Scheve_01,20190625,6/25/2019,22:31,22,EPTFUS,NoID,1,NoID,181
Scheve_01,20190624,6/25/2019,2:48,2,EPTFUS,NoID,1,NoID,181
Scheve_01,20190621,6/21/2019,23:34,23,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,0:09,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,5:30,5,LASBOR,NA,1,LASBOR,181
Scheve_01,20190625,6/26/2019,0:16,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,21:49,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/21/2019,23:11,23,LASBOR,NA,1,LASBOR,181
Scheve_01,20190624,6/24/2019,21:38,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190624,6/24/2019,21:41,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190626,6/27/2019,5:15,5,LASBOR,NA,1,LASBOR,181
Scheve_01,20190624,6/24/2019,21:41,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,0:25,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/23/2019,2:33,2,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,23:38,23,LASBOR,Noise,1,Noise,181
Scheve_01,20190626,6/27/2019,5:12,5,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,21:54,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190620,6/21/2019,1:39,1,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,21:47,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,21:53,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/22/2019,22:13,22,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,3:46,3,LASBOR,NoID,1,NoID,181
Scheve_01,20190620,6/20/2019,21:26,21,LASBOR,NoID,1,NoID,181
Scheve_01,20190622,6/22/2019,23:03,23,LASBOR,Noise,1,Noise,181
Scheve_01,20190621,6/22/2019,0:08,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,4:03,4,LASBOR,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,1:28,1,LASBOR,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,1:46,1,LASBOR,NA,1,LASBOR,181
Scheve_01,20190625,6/26/2019,4:42,4,LASBOR,NoID,1,NoID,181
Scheve_01,20190627,6/28/2019,3:57,3,LASBOR,NA,1,LASBOR,181
Scheve_01,20190627,6/27/2019,23:00,23,LASBOR,NA,1,LASBOR,181
Scheve_01,20190623,6/23/2019,22:03,22,LASBOR,Noise,1,Noise,181
Scheve_01,20190624,6/25/2019,3:22,3,LASBOR,NoID,1,NoID,181
Scheve_01,20190625,6/25/2019,23:53,23,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,2:05,2,LASBOR,NA,1,LASBOR,181
Scheve_01,20190623,6/23/2019,21:27,21,LASBOR,NoID,1,NoID,181
Scheve_01,20190623,6/24/2019,0:36,0,LASBOR,Noise,1,Noise,181
Scheve_01,20190622,6/22/2019,22:20,22,LASBOR,NA,1,LASBOR,181
Scheve_01,20190620,6/21/2019,5:45,5,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,1:29,1,LASBOR,Noise,1,Noise,181
Scheve_01,20190625,6/26/2019,4:37,4,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/21/2019,23:23,23,LASBOR,Noise,1,Noise,181
Scheve_01,20190627,6/27/2019,22:34,22,LASBOR,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,0:09,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190624,6/25/2019,4:14,4,LASBOR,NA,1,LASBOR,181
Scheve_01,20190625,6/25/2019,21:25,21,LASBOR,NA,1,LASBOR,181
Scheve_01,20190622,6/23/2019,1:12,1,LASBOR,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,1:16,1,LASBOR,Noise,1,Noise,181
Scheve_01,20190621,6/22/2019,1:15,1,LASBOR,NA,1,LASBOR,181
Scheve_01,20190621,6/22/2019,0:10,0,LASBOR,NA,1,LASBOR,181
Scheve_01,20190625,6/25/2019,22:39,22,LASBOR,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,4:49,4,LASBOR,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,0:13,0,LASBOR,NoID,1,NoID,181
Scheve_01,20190622,6/23/2019,5:14,5,LASBOR,NA,1,LASBOR,181
Scheve_01,20190625,6/26/2019,5:07,5,LASBOR,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,1:50,1,LASBOR,NoID,1,NoID,181
Scheve_01,20190625,6/25/2019,22:04,22,LASBOR,NoID,1,NoID,181
Scheve_01,20190623,6/24/2019,2:16,2,LASBOR,NoID,1,NoID,181
Scheve_01,20190622,6/22/2019,21:42,21,LASCIN,NoID,1,NoID,181
Scheve_01,20190626,6/27/2019,0:14,0,LASCIN,NoID,1,NoID,181
Scheve_01,20190624,6/24/2019,21:50,21,LASCIN,NoID,1,NoID,181
Scheve_01,20190623,6/23/2019,21:38,21,LASCIN,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,0:03,0,LASCIN,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,5:01,5,LASCIN,NoID,1,NoID,181
Scheve_01,20190622,6/23/2019,2:31,2,LASCIN,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,4:03,4,LASCIN,NoID,1,NoID,181
Scheve_01,20190626,6/26/2019,23:46,23,LASCIN,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,2:34,2,LASCIN,NoID,1,NoID,181
Scheve_01,20190621,6/22/2019,1:16,1,LASCIN,NoID,1,NoID,181
Scheve_01,20190624,6/24/2019,22:12,22,LASCIN,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,0:43,0,LASCIN,NoID,1,NoID,181
Scheve_01,20190627,6/27/2019,22:23,22,LASCIN,NoID,1,NoID,181
Scheve_01,20190624,6/25/2019,1:31,1,LASCIN,NoID,1,NoID,181
Scheve_01,20190626,6/26/2019,22:05,22,LASCIN,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,5:04,5,LASCIN,NA,1,LASCIN,181
Scheve_01,20190624,6/25/2019,2:23,2,LASCIN,NA,1,LASCIN,181
Scheve_01,20190622,6/22/2019,21:51,21,LASCIN,NoID,1,NoID,181
Scheve_01,20190625,6/26/2019,2:46,2,LASCIN,Noise,1,Noise,181
Scheve_01,20190621,6/22/2019,3:03,3,LASCIN,NA,1,LASCIN,181
Scheve_01,20190626,6/27/2019,4:16,4,LASCIN,NA,1,LASCIN,181
