Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
WiensP_01,20190630,6/30/2019,22:29,22,EPTFUS,NA,1,EPTFUS,36
WiensP_01,20190630,6/30/2019,23:14,23,EPTFUS,NA,1,EPTFUS,36
WiensP_01,20190628,6/29/2019,4:14,4,EPTFUS,NA,1,EPTFUS,36
WiensP_02,20190630,6/30/2019,23:19,23,EPTFUS,NA,1,EPTFUS,10
WiensP_02,20190629,6/30/2019,1:16,1,EPTFUS,NA,1,EPTFUS,10
WiensP_03,20190629,6/30/2019,1:16,1,EPTFUS,NA,1,EPTFUS,102
WiensP_04,20190630,6/30/2019,22:02,22,EPTFUS,NA,1,EPTFUS,44
WiensP_04,20190630,6/30/2019,22:02,22,EPTFUS,NA,1,EPTFUS,44
WiensP_04,20190629,6/30/2019,1:16,1,EPTFUS,NA,1,EPTFUS,44
WiensP_04,20190630,6/30/2019,22:38,22,EPTFUS,NA,1,EPTFUS,44
WiensP_04,20190628,6/29/2019,4:13,4,EPTFUS,NA,1,EPTFUS,44
WiensP_05,20190630,6/30/2019,23:15,23,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190628,6/28/2019,22:42,22,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190629,6/30/2019,1:15,1,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190630,7/1/2019,0:00,0,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190630,7/1/2019,4:45,4,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190629,6/30/2019,3:34,3,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190630,6/30/2019,23:15,23,EPTFUS,NA,1,EPTFUS,0
WiensP_05,20190630,6/30/2019,21:59,21,EPTFUS,NA,1,EPTFUS,0
WiensP_08,20190630,6/30/2019,23:21,23,EPTFUS,NA,1,EPTFUS,172
WiensP_08,20190630,6/30/2019,22:27,22,EPTFUS,NA,1,EPTFUS,172
WiensP_08,20190630,7/1/2019,2:12,2,EPTFUS,NA,1,EPTFUS,172
WiensP_09,20190629,6/30/2019,1:14,1,EPTFUS,NA,1,EPTFUS,8
WiensP_09,20190630,7/1/2019,0:00,0,EPTFUS,NA,1,EPTFUS,8
WiensP_09,20190629,6/29/2019,23:11,23,EPTFUS,NA,1,EPTFUS,8
WiensP_09,20190630,7/1/2019,4:45,4,EPTFUS,NA,1,EPTFUS,8
WiensP_11,20190630,6/30/2019,23:59,23,EPTFUS,NA,1,EPTFUS,111
WiensP_11,20190630,7/1/2019,2:12,2,EPTFUS,NA,1,EPTFUS,111
WiensP_13,20190630,7/1/2019,2:12,2,EPTFUS,NA,1,EPTFUS,82
WiensP_14,20190630,7/1/2019,2:12,2,EPTFUS,NA,1,EPTFUS,122
WiensP_14,20190629,6/29/2019,23:11,23,EPTFUS,NA,1,EPTFUS,122
WiensP_15,20190629,6/29/2019,23:11,23,EPTFUS,NA,1,EPTFUS,167
WiensP_16,20190626,6/26/2019,22:25,22,EPTFUS,NA,1,EPTFUS,247
WiensP_16,20190626,6/26/2019,22:25,22,EPTFUS,NA,1,EPTFUS,247
WiensP_16,20190629,6/29/2019,23:11,23,EPTFUS,NA,1,EPTFUS,247
WiensP_16,20190630,7/1/2019,2:49,2,EPTFUS,NA,1,EPTFUS,247
WiensP_18,20190626,6/26/2019,23:24,23,EPTFUS,NA,1,EPTFUS,160
WiensP_19,20190626,6/26/2019,22:24,22,EPTFUS,NA,1,EPTFUS,250
WiensP_21,20190629,6/30/2019,0:21,0,EPTFUS,NA,1,EPTFUS,65
WiensP_21,20190629,6/30/2019,4:08,4,EPTFUS,NA,1,EPTFUS,65
WiensP_22,20190704,7/5/2019,1:07,1,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190703,7/3/2019,23:52,23,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190702,7/2/2019,23:53,23,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190702,7/3/2019,1:25,1,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190702,7/3/2019,1:27,1,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190706,7/6/2019,22:46,22,EPTFUS,NA,1,EPTFUS,165
WiensP_22,20190704,7/4/2019,22:26,22,EPTFUS,NA,1,EPTFUS,165
WiensP_23,20190626,6/26/2019,23:29,23,EPTFUS,NA,1,EPTFUS,263
WiensP_24,20190628,6/28/2019,22:16,22,EPTFUS,NA,1,EPTFUS,166
WiensP_24,20190628,6/28/2019,23:19,23,EPTFUS,NA,1,EPTFUS,166
WiensP_24,20190630,7/1/2019,2:05,2,EPTFUS,NA,1,EPTFUS,166
WiensP_24,20190629,6/30/2019,0:22,0,EPTFUS,NA,1,EPTFUS,166
WiensP_01,20190626,6/27/2019,2:36,2,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,4:15,4,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,5:01,5,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,1:08,1,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/28/2019,22:17,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,2:12,2,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/28/2019,22:07,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190629,6/30/2019,5:10,5,LASBOR,NA,1,LASBOR,36
WiensP_01,20190629,6/29/2019,23:02,23,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/28/2019,22:18,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/29/2019,2:40,2,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,6/30/2019,22:08,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190629,6/30/2019,1:33,1,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,5:04,5,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,6/30/2019,22:01,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,4:43,4,LASBOR,NA,1,LASBOR,36
WiensP_01,20190629,6/29/2019,21:41,21,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,4:24,4,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,6/30/2019,23:16,23,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/28/2019,21:40,21,LASBOR,NA,1,LASBOR,36
WiensP_01,20190628,6/29/2019,0:12,0,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,7/1/2019,5:10,5,LASBOR,NA,1,LASBOR,36
WiensP_01,20190630,6/30/2019,22:08,22,LASBOR,NA,1,LASBOR,36
WiensP_01,20190626,6/27/2019,0:58,0,LASBOR,NA,1,LASBOR,36
WiensP_02,20190630,6/30/2019,21:56,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,22:05,22,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,5:13,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/29/2019,21:49,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,0:45,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,2:42,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,4:14,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,21:38,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,5:03,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,0:37,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/26/2019,22:22,22,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,23:51,23,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,5:08,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,5:01,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:45,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,22:11,22,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/29/2019,23:06,23,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,5:06,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/29/2019,22:15,22,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/26/2019,22:35,22,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,4:57,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/28/2019,23:09,23,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,0:37,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,1:16,1,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,2:50,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,0:20,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,5:08,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,3:13,3,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,23:17,23,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,1:45,1,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,5:12,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,3:11,3,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,5:03,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,5:11,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,5:06,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:18,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,0:43,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,5:19,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:17,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,0:20,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,2:06,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,2:54,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,3:48,3,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,0:19,0,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,2:43,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/26/2019,21:37,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:47,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/26/2019,23:38,23,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,2:42,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190626,6/27/2019,5:02,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:45,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/30/2019,2:34,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,6/30/2019,21:55,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190629,6/29/2019,21:49,21,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,1:16,1,LASBOR,NA,1,LASBOR,10
WiensP_02,20190628,6/29/2019,2:43,2,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,5:25,5,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:47,4,LASBOR,NA,1,LASBOR,10
WiensP_02,20190630,7/1/2019,4:56,4,LASBOR,NA,1,LASBOR,10
