Detector,FOLDER_Date,DATE,TIME_24,HOUR_24,AUTO_ID,MANUAL_ID,Count,Bat_ID,Distance_m
WiensW_01,20190706,7/7/2019,0:11,0,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190706,7/7/2019,0:39,0,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190704,7/4/2019,23:19,23,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190704,7/5/2019,4:02,4,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190706,7/7/2019,1:04,1,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190706,7/6/2019,23:56,23,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190706,7/6/2019,23:57,23,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190703,7/3/2019,22:47,22,EPTFUS,NA,1,EPTFUS,0
WiensW_01,20190706,7/7/2019,0:11,0,EPTFUS,NA,1,EPTFUS,0
WiensW_02,20190706,7/6/2019,23:56,23,EPTFUS,NA,1,EPTFUS,0
WiensW_02,20190704,7/5/2019,4:02,4,EPTFUS,NA,1,EPTFUS,0
WiensW_02,20190706,7/7/2019,0:39,0,EPTFUS,NA,1,EPTFUS,0
WiensW_02,20190704,7/4/2019,22:53,22,EPTFUS,NA,1,EPTFUS,0
WiensW_02,20190704,7/5/2019,2:52,2,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,23:56,23,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,22:54,22,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,22:54,22,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/7/2019,0:39,0,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190704,7/5/2019,4:01,4,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,23:45,23,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,22:54,22,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,23:56,23,EPTFUS,NA,1,EPTFUS,0
WiensW_03,20190706,7/6/2019,22:49,22,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190706,7/6/2019,23:55,23,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190706,7/6/2019,22:54,22,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190706,7/7/2019,0:38,0,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190704,7/5/2019,4:01,4,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190706,7/6/2019,22:49,22,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190703,7/3/2019,23:18,23,EPTFUS,NA,1,EPTFUS,0
WiensW_04,20190704,7/4/2019,23:38,23,EPTFUS,NA,1,EPTFUS,0
WiensW_06,20190706,7/6/2019,23:45,23,EPTFUS,NA,1,EPTFUS,100
WiensW_06,20190702,7/3/2019,0:40,0,EPTFUS,NA,1,EPTFUS,100
WiensW_06,20190704,7/5/2019,2:53,2,EPTFUS,NA,1,EPTFUS,100
WiensW_07,20190704,7/4/2019,23:38,23,EPTFUS,NA,1,EPTFUS,100
WiensW_07,20190704,7/5/2019,0:10,0,EPTFUS,NA,1,EPTFUS,100
WiensW_09,20190706,7/6/2019,23:53,23,EPTFUS,NA,1,EPTFUS,200
WiensW_10,20190704,7/4/2019,22:53,22,EPTFUS,NA,1,EPTFUS,200
WiensW_10,20190706,7/6/2019,23:45,23,EPTFUS,NA,1,EPTFUS,200
WiensW_10,20190703,7/3/2019,22:48,22,EPTFUS,NA,1,EPTFUS,200
WiensW_10,20190703,7/4/2019,0:55,0,EPTFUS,NA,1,EPTFUS,200
WiensW_10,20190704,7/4/2019,23:38,23,EPTFUS,NA,1,EPTFUS,200
WiensW_12,20190704,7/4/2019,23:30,23,EPTFUS,NA,1,EPTFUS,200
WiensW_12,20190703,7/4/2019,1:29,1,EPTFUS,NA,1,EPTFUS,200
